time,"40.49115625,74.22418125","40.49115625,74.15434375000001","40.49115625,74.08450625","40.49115625,74.01466875","40.49115625,73.94483125","40.49115625,73.87499375","40.49115625,73.80515625000001","40.49115625,73.73531875","40.51866875,74.22418125","40.51866875,74.15434375000001","40.51866875,74.08450625","40.51866875,74.01466875","40.51866875,73.94483125","40.51866875,73.87499375","40.51866875,73.80515625000001","40.51866875,73.73531875","40.546181250000004,74.22418125","40.546181250000004,74.15434375000001","40.546181250000004,74.08450625","40.546181250000004,74.01466875","40.546181250000004,73.94483125","40.546181250000004,73.87499375","40.546181250000004,73.80515625000001","40.546181250000004,73.73531875","40.573693750000004,74.22418125","40.573693750000004,74.15434375000001","40.573693750000004,74.08450625","40.573693750000004,74.01466875","40.573693750000004,73.94483125","40.573693750000004,73.87499375","40.573693750000004,73.80515625000001","40.573693750000004,73.73531875","40.601206250000004,74.22418125","40.601206250000004,74.15434375000001","40.601206250000004,74.08450625","40.601206250000004,74.01466875","40.601206250000004,73.94483125","40.601206250000004,73.87499375","40.601206250000004,73.80515625000001","40.601206250000004,73.73531875","40.628718750000004,74.22418125","40.628718750000004,74.15434375000001","40.628718750000004,74.08450625","40.628718750000004,74.01466875","40.628718750000004,73.94483125","40.628718750000004,73.87499375","40.628718750000004,73.80515625000001","40.628718750000004,73.73531875","40.656231250000005,74.22418125","40.656231250000005,74.15434375000001","40.656231250000005,74.08450625","40.656231250000005,74.01466875","40.656231250000005,73.94483125","40.656231250000005,73.87499375","40.656231250000005,73.80515625000001","40.656231250000005,73.73531875","40.683743750000005,74.22418125","40.683743750000005,74.15434375000001","40.683743750000005,74.08450625","40.683743750000005,74.01466875","40.683743750000005,73.94483125","40.683743750000005,73.87499375","40.683743750000005,73.80515625000001","40.683743750000005,73.73531875","40.711256250000005,74.22418125","40.711256250000005,74.15434375000001","40.711256250000005,74.08450625","40.711256250000005,74.01466875","40.711256250000005,73.94483125","40.711256250000005,73.87499375","40.711256250000005,73.80515625000001","40.711256250000005,73.73531875","40.73876875,74.22418125","40.73876875,74.15434375000001","40.73876875,74.08450625","40.73876875,74.01466875","40.73876875,73.94483125","40.73876875,73.87499375","40.73876875,73.80515625000001","40.73876875,73.73531875","40.76628125,74.22418125","40.76628125,74.15434375000001","40.76628125,74.08450625","40.76628125,74.01466875","40.76628125,73.94483125","40.76628125,73.87499375","40.76628125,73.80515625000001","40.76628125,73.73531875","40.79379375,74.22418125","40.79379375,74.15434375000001","40.79379375,74.08450625","40.79379375,74.01466875","40.79379375,73.94483125","40.79379375,73.87499375","40.79379375,73.80515625000001","40.79379375,73.73531875","40.82130625,74.22418125","40.82130625,74.15434375000001","40.82130625,74.08450625","40.82130625,74.01466875","40.82130625,73.94483125","40.82130625,73.87499375","40.82130625,73.80515625000001","40.82130625,73.73531875","40.84881875,74.22418125","40.84881875,74.15434375000001","40.84881875,74.08450625","40.84881875,74.01466875","40.84881875,73.94483125","40.84881875,73.87499375","40.84881875,73.80515625000001","40.84881875,73.73531875","40.87633125,74.22418125","40.87633125,74.15434375000001","40.87633125,74.08450625","40.87633125,74.01466875","40.87633125,73.94483125","40.87633125,73.87499375","40.87633125,73.80515625000001","40.87633125,73.73531875","40.90384375,74.22418125","40.90384375,74.15434375000001","40.90384375,74.08450625","40.90384375,74.01466875","40.90384375,73.94483125","40.90384375,73.87499375","40.90384375,73.80515625000001","40.90384375,73.73531875"
2014/4/1 0:00,0,0,1,0,0,0,0,0,0,1,1,4,1,1,0,0,0,0,2,5,0,2,2,0,0,0,2,0,0,0,0,0,0,1,3,1,4,2,0,0,0,3,3,6,3,0,0,0,0,2,6,5,5,0,0,0,0,6,3,8,1,0,0,0,0,2,0,2,0,0,0,0,3,4,5,0,1,0,1,0,0,2,2,1,0,0,2,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1
2014/4/1 1:00,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,2,2,3,1,0,0,0,0,1,3,1,2,0,0,0,0,1,2,3,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,3,1,0,0,0,0,0,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2014/4/1 2:00,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014/4/1 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014/4/1 4:00,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014/4/1 5:00,0,0,2,3,0,0,0,0,0,1,0,1,4,3,1,0,0,0,0,1,5,3,1,0,0,1,4,3,3,3,0,0,0,5,2,1,1,1,0,0,0,4,5,2,1,0,0,0,0,0,2,3,1,0,0,0,0,2,2,2,0,0,0,0,5,0,1,1,0,0,0,0,4,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014/4/1 6:00,0,0,1,9,6,0,0,0,0,1,5,15,18,11,0,0,0,5,3,4,18,26,1,0,0,6,9,9,14,18,0,0,0,12,9,7,7,12,0,0,0,8,10,28,17,0,0,0,0,7,7,7,5,0,0,0,0,3,8,9,3,0,0,0,15,1,7,2,1,0,0,0,9,0,5,3,1,0,1,0,7,5,1,3,1,0,1,0,5,5,0,0,0,0,0,0,3,0,1,3,0,2,0,0,0,0,0,5,2,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,1,2,0
2014/4/1 7:00,0,0,4,15,4,0,0,0,0,6,6,27,56,24,1,0,0,2,5,17,57,59,8,0,0,8,19,21,55,15,0,0,0,25,8,28,15,8,0,0,0,19,31,52,30,0,0,0,0,12,22,24,19,0,0,0,0,15,27,30,4,0,0,0,16,8,9,11,8,0,0,0,34,4,5,12,8,0,2,0,17,17,5,3,0,0,1,1,21,25,0,0,0,4,0,0,15,0,1,2,1,0,0,0,0,0,1,13,7,0,1,0,0,0,0,0,11,6,1,1,0,0,0,0,6,0,0,0
2014/4/1 8:00,0,0,3,19,20,0,0,0,0,11,9,33,48,43,3,0,0,2,16,48,71,70,9,0,0,22,46,68,91,45,0,0,0,37,48,57,34,29,0,0,0,45,45,79,43,0,0,0,0,18,45,79,24,0,0,0,0,43,58,48,3,0,0,0,13,39,26,24,11,0,0,0,81,31,18,7,5,0,2,0,45,36,9,11,2,0,1,0,58,60,0,0,0,0,1,0,34,0,2,20,1,4,0,0,0,0,7,34,9,1,1,0,0,0,3,5,20,3,2,0,0,0,0,0,13,1,2,2
2014/4/1 9:00,0,0,4,14,34,0,0,0,0,2,9,24,47,21,0,0,0,1,22,47,34,73,3,0,0,34,22,56,88,45,0,0,0,51,42,61,34,36,0,0,0,42,78,77,51,0,0,0,0,25,59,45,14,0,0,0,0,40,71,43,5,0,0,0,17,46,51,14,13,0,0,0,38,46,35,10,3,0,3,0,34,33,17,7,3,0,3,0,36,61,0,0,0,0,0,0,18,0,1,24,2,6,0,0,0,0,2,38,3,4,1,0,0,0,2,3,5,0,0,0,0,0,0,0,6,1,2,0
2014/4/1 10:00,0,0,6,8,16,0,0,0,0,1,7,15,15,7,0,0,0,3,7,32,23,20,8,0,0,8,16,35,44,13,0,0,0,28,26,43,18,15,0,0,0,22,42,33,19,0,0,0,0,29,36,39,10,0,0,0,0,25,44,19,4,0,0,0,8,23,26,11,11,0,0,0,25,21,17,11,2,0,3,0,17,13,9,4,0,0,4,0,26,14,0,0,0,1,0,0,4,0,0,14,1,2,0,0,0,0,3,13,2,2,1,0,0,0,1,3,8,2,0,0,0,0,0,0,4,1,0,0
2014/4/1 11:00,0,0,2,7,15,0,0,0,0,0,4,5,17,10,2,0,0,1,5,16,7,28,3,0,0,8,9,16,22,8,0,0,0,27,27,24,13,12,0,0,0,24,31,23,12,0,0,0,0,14,24,36,12,0,0,0,0,11,25,35,2,0,0,0,4,20,10,19,10,0,0,0,21,11,14,15,7,0,2,0,10,10,11,10,3,0,3,0,12,10,0,0,0,3,0,0,2,0,4,10,0,1,0,0,0,0,2,6,0,3,1,0,0,0,1,0,4,2,0,0,0,0,0,0,3,1,1,2
2014/4/1 12:00,0,0,4,7,28,0,0,0,0,2,10,14,14,13,1,0,0,2,9,21,21,23,3,0,0,9,11,20,37,10,0,0,0,26,27,32,25,6,0,0,0,22,27,31,23,0,0,0,0,20,33,55,18,0,0,0,0,16,32,36,8,0,0,0,14,23,27,23,15,0,0,0,37,16,18,14,10,0,1,0,24,19,11,6,3,0,4,2,19,19,0,0,0,0,0,0,5,0,6,3,1,2,0,0,0,0,2,7,1,2,2,2,0,0,2,3,2,1,3,0,0,0,0,0,3,1,5,0
2014/4/1 13:00,0,0,1,10,29,0,0,0,0,5,5,29,19,12,3,0,0,2,12,25,18,18,3,0,0,12,15,30,32,12,0,0,0,21,33,32,12,8,0,0,0,31,32,53,26,0,0,0,0,16,30,56,20,0,0,0,0,18,50,44,8,0,0,0,4,21,29,16,6,0,0,0,24,19,20,8,6,0,1,0,22,22,15,11,2,0,5,0,15,20,0,0,0,1,0,0,7,0,2,10,2,1,0,0,0,0,3,12,2,3,2,0,0,0,1,1,2,2,0,0,0,0,0,0,1,1,2,0
