time,"40.4774,-74.2591","40.4774,-74.2297","40.4774,-74.2003","40.4774,-74.1709","40.4774,-74.1415","40.4774,-74.1121","40.4774,-74.0827","40.4774,-74.0533","40.4774,-74.0239","40.4774,-73.9945","40.4774,-73.9650","40.4774,-73.9356","40.4774,-73.9062","40.4774,-73.8768","40.4774,-73.8474","40.4774,-73.8180","40.4774,-73.7886","40.4774,-73.7592","40.4774,-73.7298","40.4774,-73.7004","40.5263,-74.2591","40.5263,-74.2297","40.5263,-74.2003","40.5263,-74.1709","40.5263,-74.1415","40.5263,-74.1121","40.5263,-74.0827","40.5263,-74.0533","40.5263,-74.0239","40.5263,-73.9945","40.5263,-73.9650","40.5263,-73.9356","40.5263,-73.9062","40.5263,-73.8768","40.5263,-73.8474","40.5263,-73.8180","40.5263,-73.7886","40.5263,-73.7592","40.5263,-73.7298","40.5263,-73.7004","40.5752,-74.2591","40.5752,-74.2297","40.5752,-74.2003","40.5752,-74.1709","40.5752,-74.1415","40.5752,-74.1121","40.5752,-74.0827","40.5752,-74.0533","40.5752,-74.0239","40.5752,-73.9945","40.5752,-73.9650","40.5752,-73.9356","40.5752,-73.9062","40.5752,-73.8768","40.5752,-73.8474","40.5752,-73.8180","40.5752,-73.7886","40.5752,-73.7592","40.5752,-73.7298","40.5752,-73.7004","40.6241,-74.2591","40.6241,-74.2297","40.6241,-74.2003","40.6241,-74.1709","40.6241,-74.1415","40.6241,-74.1121","40.6241,-74.0827","40.6241,-74.0533","40.6241,-74.0239","40.6241,-73.9945","40.6241,-73.9650","40.6241,-73.9356","40.6241,-73.9062","40.6241,-73.8768","40.6241,-73.8474","40.6241,-73.8180","40.6241,-73.7886","40.6241,-73.7592","40.6241,-73.7298","40.6241,-73.7004","40.6730,-74.2591","40.6730,-74.2297","40.6730,-74.2003","40.6730,-74.1709","40.6730,-74.1415","40.6730,-74.1121","40.6730,-74.0827","40.6730,-74.0533","40.6730,-74.0239","40.6730,-73.9945","40.6730,-73.9650","40.6730,-73.9356","40.6730,-73.9062","40.6730,-73.8768","40.6730,-73.8474","40.6730,-73.8180","40.6730,-73.7886","40.6730,-73.7592","40.6730,-73.7298","40.6730,-73.7004","40.7220,-74.2591","40.7220,-74.2297","40.7220,-74.2003","40.7220,-74.1709","40.7220,-74.1415","40.7220,-74.1121","40.7220,-74.0827","40.7220,-74.0533","40.7220,-74.0239","40.7220,-73.9945","40.7220,-73.9650","40.7220,-73.9356","40.7220,-73.9062","40.7220,-73.8768","40.7220,-73.8474","40.7220,-73.8180","40.7220,-73.7886","40.7220,-73.7592","40.7220,-73.7298","40.7220,-73.7004","40.7709,-74.2591","40.7709,-74.2297","40.7709,-74.2003","40.7709,-74.1709","40.7709,-74.1415","40.7709,-74.1121","40.7709,-74.0827","40.7709,-74.0533","40.7709,-74.0239","40.7709,-73.9945","40.7709,-73.9650","40.7709,-73.9356","40.7709,-73.9062","40.7709,-73.8768","40.7709,-73.8474","40.7709,-73.8180","40.7709,-73.7886","40.7709,-73.7592","40.7709,-73.7298","40.7709,-73.7004","40.8198,-74.2591","40.8198,-74.2297","40.8198,-74.2003","40.8198,-74.1709","40.8198,-74.1415","40.8198,-74.1121","40.8198,-74.0827","40.8198,-74.0533","40.8198,-74.0239","40.8198,-73.9945","40.8198,-73.9650","40.8198,-73.9356","40.8198,-73.9062","40.8198,-73.8768","40.8198,-73.8474","40.8198,-73.8180","40.8198,-73.7886","40.8198,-73.7592","40.8198,-73.7298","40.8198,-73.7004","40.8687,-74.2591","40.8687,-74.2297","40.8687,-74.2003","40.8687,-74.1709","40.8687,-74.1415","40.8687,-74.1121","40.8687,-74.0827","40.8687,-74.0533","40.8687,-74.0239","40.8687,-73.9945","40.8687,-73.9650","40.8687,-73.9356","40.8687,-73.9062","40.8687,-73.8768","40.8687,-73.8474","40.8687,-73.8180","40.8687,-73.7886","40.8687,-73.7592","40.8687,-73.7298","40.8687,-73.7004","40.9176,-74.2591","40.9176,-74.2297","40.9176,-74.2003","40.9176,-74.1709","40.9176,-74.1415","40.9176,-74.1121","40.9176,-74.0827","40.9176,-74.0533","40.9176,-74.0239","40.9176,-73.9945","40.9176,-73.9650","40.9176,-73.9356","40.9176,-73.9062","40.9176,-73.8768","40.9176,-73.8474","40.9176,-73.8180","40.9176,-73.7886","40.9176,-73.7592","40.9176,-73.7298","40.9176,-73.7004"
2016/7/1 0:00,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,4,22,25,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16,24,13,15,14,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,17,11,5,2,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,9,4,2,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,1,4,1,0,2,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/7/1 0:30,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,14,21,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,15,13,15,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,2,10,7,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/7/1 1:00,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,7,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,8,2,7,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,14,2,1,6,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/7/1 1:30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,7,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,7,3,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,6,0,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/7/1 2:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,8,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/7/1 2:30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,4,2,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/7/1 3:00,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/7/1 3:30,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/7/1 4:00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016/7/1 4:30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,2,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
