time,"40.4774,-74.2591","40.4774,-74.2297","40.4774,-74.2003","40.4774,-74.1709","40.4774,-74.1415","40.4774,-74.1121","40.4774,-74.0827","40.4774,-74.0533","40.4774,-74.0239","40.4774,-73.9945","40.4774,-73.9650","40.4774,-73.9356","40.4774,-73.9062","40.4774,-73.8768","40.4774,-73.8474","40.4774,-73.8180","40.4774,-73.7886","40.4774,-73.7592","40.4774,-73.7298","40.4774,-73.7004","40.5263,-74.2591","40.5263,-74.2297","40.5263,-74.2003","40.5263,-74.1709","40.5263,-74.1415","40.5263,-74.1121","40.5263,-74.0827","40.5263,-74.0533","40.5263,-74.0239","40.5263,-73.9945","40.5263,-73.9650","40.5263,-73.9356","40.5263,-73.9062","40.5263,-73.8768","40.5263,-73.8474","40.5263,-73.8180","40.5263,-73.7886","40.5263,-73.7592","40.5263,-73.7298","40.5263,-73.7004","40.5752,-74.2591","40.5752,-74.2297","40.5752,-74.2003","40.5752,-74.1709","40.5752,-74.1415","40.5752,-74.1121","40.5752,-74.0827","40.5752,-74.0533","40.5752,-74.0239","40.5752,-73.9945","40.5752,-73.9650","40.5752,-73.9356","40.5752,-73.9062","40.5752,-73.8768","40.5752,-73.8474","40.5752,-73.8180","40.5752,-73.7886","40.5752,-73.7592","40.5752,-73.7298","40.5752,-73.7004","40.6241,-74.2591","40.6241,-74.2297","40.6241,-74.2003","40.6241,-74.1709","40.6241,-74.1415","40.6241,-74.1121","40.6241,-74.0827","40.6241,-74.0533","40.6241,-74.0239","40.6241,-73.9945","40.6241,-73.9650","40.6241,-73.9356","40.6241,-73.9062","40.6241,-73.8768","40.6241,-73.8474","40.6241,-73.8180","40.6241,-73.7886","40.6241,-73.7592","40.6241,-73.7298","40.6241,-73.7004","40.6730,-74.2591","40.6730,-74.2297","40.6730,-74.2003","40.6730,-74.1709","40.6730,-74.1415","40.6730,-74.1121","40.6730,-74.0827","40.6730,-74.0533","40.6730,-74.0239","40.6730,-73.9945","40.6730,-73.9650","40.6730,-73.9356","40.6730,-73.9062","40.6730,-73.8768","40.6730,-73.8474","40.6730,-73.8180","40.6730,-73.7886","40.6730,-73.7592","40.6730,-73.7298","40.6730,-73.7004","40.7220,-74.2591","40.7220,-74.2297","40.7220,-74.2003","40.7220,-74.1709","40.7220,-74.1415","40.7220,-74.1121","40.7220,-74.0827","40.7220,-74.0533","40.7220,-74.0239","40.7220,-73.9945","40.7220,-73.9650","40.7220,-73.9356","40.7220,-73.9062","40.7220,-73.8768","40.7220,-73.8474","40.7220,-73.8180","40.7220,-73.7886","40.7220,-73.7592","40.7220,-73.7298","40.7220,-73.7004","40.7709,-74.2591","40.7709,-74.2297","40.7709,-74.2003","40.7709,-74.1709","40.7709,-74.1415","40.7709,-74.1121","40.7709,-74.0827","40.7709,-74.0533","40.7709,-74.0239","40.7709,-73.9945","40.7709,-73.9650","40.7709,-73.9356","40.7709,-73.9062","40.7709,-73.8768","40.7709,-73.8474","40.7709,-73.8180","40.7709,-73.7886","40.7709,-73.7592","40.7709,-73.7298","40.7709,-73.7004","40.8198,-74.2591","40.8198,-74.2297","40.8198,-74.2003","40.8198,-74.1709","40.8198,-74.1415","40.8198,-74.1121","40.8198,-74.0827","40.8198,-74.0533","40.8198,-74.0239","40.8198,-73.9945","40.8198,-73.9650","40.8198,-73.9356","40.8198,-73.9062","40.8198,-73.8768","40.8198,-73.8474","40.8198,-73.8180","40.8198,-73.7886","40.8198,-73.7592","40.8198,-73.7298","40.8198,-73.7004","40.8687,-74.2591","40.8687,-74.2297","40.8687,-74.2003","40.8687,-74.1709","40.8687,-74.1415","40.8687,-74.1121","40.8687,-74.0827","40.8687,-74.0533","40.8687,-74.0239","40.8687,-73.9945","40.8687,-73.9650","40.8687,-73.9356","40.8687,-73.9062","40.8687,-73.8768","40.8687,-73.8474","40.8687,-73.8180","40.8687,-73.7886","40.8687,-73.7592","40.8687,-73.7298","40.8687,-73.7004","40.9176,-74.2591","40.9176,-74.2297","40.9176,-74.2003","40.9176,-74.1709","40.9176,-74.1415","40.9176,-74.1121","40.9176,-74.0827","40.9176,-74.0533","40.9176,-74.0239","40.9176,-73.9945","40.9176,-73.9650","40.9176,-73.9356","40.9176,-73.9062","40.9176,-73.8768","40.9176,-73.8474","40.9176,-73.8180","40.9176,-73.7886","40.9176,-73.7592","40.9176,-73.7298","40.9176,-73.7004"
2015/1/1 0:00,64,32,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,111,242,389,536,226,29,10,0,0,0,0,0,0,0,0,0,0,0,0,4,30,396,401,462,424,232,371,130,2,0,0,0,0,0,0,0,0,0,0,2,22,228,356,432,566,361,358,358,186,44,0,0,0,0,0,0,0,0,0,0,5,1,16,29,124,410,436,175,127,218,97,19,0,0,0,0,0,0,0,2,44,19,6,1,8,81,229,366,132,10,43,49,27,1,0,0,0,0,0,4,12,5,2,0,6,2,18,264,212,39,20,21,7,14,12,0,0,0,0,7,10,0,0,0,2,11,1,0,0,18,30,11,8,1,5,4,7,0,0,2,1,0,0,0,6,8,17,4,0,0,0,1,1,0,0,2,0,0,0,3,0,0,0,2,2,1,3,3,0,0,0,1,2,0,0,1,1,0,0
2015/1/1 0:30,88,75,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,166,247,346,519,329,66,38,0,0,0,0,0,0,0,0,0,0,0,0,7,59,444,398,608,587,336,377,101,7,0,0,0,0,0,0,0,0,0,0,4,32,284,491,605,861,361,185,266,284,73,0,0,0,0,0,0,0,0,0,1,11,3,33,40,248,621,521,68,164,332,176,36,0,0,0,0,0,0,0,3,87,45,30,6,13,160,389,585,156,50,87,60,44,1,0,0,0,0,0,10,53,29,11,5,15,5,44,415,361,57,44,73,15,45,25,0,0,0,0,17,15,3,0,0,16,13,1,2,0,20,52,35,30,10,6,23,22,5,0,12,1,0,0,0,17,14,21,17,0,0,0,4,5,1,0,0,2,3,8,3,0,0,0,1,4,8,16,20,0,0,0,1,1,1,1,1,1,3,4
2015/1/1 1:00,102,60,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,178,238,279,368,212,47,40,0,0,0,0,0,0,0,0,0,0,0,0,8,54,398,296,328,565,295,336,95,7,0,0,0,0,0,0,0,0,0,0,0,39,344,463,588,832,369,291,287,310,91,0,0,0,0,0,0,0,0,0,1,22,7,34,38,291,646,418,81,145,320,208,29,0,0,0,0,0,0,0,2,103,61,32,8,19,189,435,530,155,51,91,65,38,5,0,0,0,0,0,10,63,39,17,2,14,7,42,427,355,90,57,57,21,69,25,0,0,0,0,20,16,1,1,0,14,17,1,1,0,36,59,33,21,15,12,18,30,5,0,27,2,0,0,3,13,33,40,19,0,0,0,3,2,2,2,0,6,2,12,3,0,0,0,3,14,11,43,20,0,0,0,4,6,2,2,3,0,1,2
2015/1/1 1:30,96,68,22,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,153,197,226,246,314,178,42,23,0,0,1,0,0,0,0,0,0,0,0,0,5,73,319,269,258,460,246,306,98,8,0,0,0,0,0,0,0,0,0,0,8,36,312,435,505,609,301,313,243,314,68,0,0,0,0,0,0,0,0,0,0,20,2,32,33,274,619,370,59,163,293,177,29,0,0,0,0,0,0,0,6,105,40,42,7,25,160,399,443,132,31,112,49,40,5,0,0,0,0,0,14,73,37,22,5,16,5,29,445,377,71,50,85,28,66,19,1,0,0,0,22,24,11,3,0,17,14,3,0,0,34,42,39,26,26,14,22,46,3,0,27,2,0,0,1,16,32,55,20,0,0,0,7,3,1,2,1,5,7,11,4,1,0,0,5,24,22,37,37,5,0,0,4,4,2,6,3,4,0,2
2015/1/1 2:00,69,78,13,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,128,148,156,231,295,145,32,22,0,0,0,0,0,0,0,0,0,0,0,0,5,86,312,245,215,427,277,271,96,7,0,0,0,0,0,0,0,0,0,0,5,35,311,395,484,558,233,290,209,298,49,0,0,0,1,0,0,0,0,0,1,15,8,30,28,285,554,385,32,117,247,128,25,0,0,0,0,0,0,0,7,73,48,36,7,20,134,289,364,128,29,93,60,42,3,0,0,0,0,0,10,63,54,30,11,20,8,32,403,309,68,60,76,32,34,22,2,0,0,0,24,18,11,4,0,18,14,4,0,1,31,50,31,17,17,10,36,31,3,0,27,1,0,0,3,24,34,66,26,0,0,0,4,1,1,0,0,5,6,11,3,0,0,1,1,17,21,46,41,5,0,0,0,2,2,2,3,1,0,2
2015/1/1 2:30,82,70,19,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,123,169,168,255,239,159,27,13,0,0,1,1,0,0,0,0,0,0,0,0,2,81,327,195,204,387,262,304,122,2,0,0,1,0,0,0,0,0,0,0,10,34,300,416,521,564,267,333,291,250,38,0,0,0,0,0,0,4,0,0,2,17,1,27,14,283,517,310,23,97,231,110,21,0,0,0,1,0,0,0,10,84,39,28,4,22,130,243,344,76,22,66,52,45,5,0,0,0,0,0,20,76,50,20,4,21,7,24,271,245,51,58,65,21,59,28,0,0,0,0,19,13,10,3,0,13,17,6,1,1,18,45,35,23,18,16,26,21,3,0,22,2,0,0,1,13,37,47,23,0,0,0,6,2,0,0,0,0,6,6,6,0,0,0,2,20,15,49,38,4,0,0,0,2,0,3,2,0,3,3
2015/1/1 3:00,63,40,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,115,144,163,207,203,130,31,8,0,1,1,0,0,0,0,0,0,0,0,0,7,90,373,222,201,379,281,285,114,3,0,0,0,0,0,0,0,0,0,0,9,33,329,475,506,603,304,420,184,184,19,0,0,0,0,0,0,1,0,0,1,21,2,21,23,208,399,250,17,64,195,85,15,0,0,0,0,0,0,0,4,85,51,33,5,7,97,187,244,45,9,64,43,21,3,0,0,0,0,0,16,60,54,16,7,16,5,12,244,166,43,37,63,23,45,33,0,0,0,0,24,22,4,1,0,17,23,4,1,3,14,50,23,21,19,11,26,24,0,0,33,0,0,0,0,14,24,51,18,0,0,0,4,4,4,1,1,3,4,16,2,1,0,0,1,16,27,37,32,1,0,0,1,3,4,2,1,4,4,2
2015/1/1 3:30,36,39,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69,138,179,194,200,134,18,7,0,1,0,0,0,0,0,0,0,0,0,0,5,75,432,244,246,348,259,338,135,2,0,0,0,0,0,0,0,0,0,0,5,31,302,497,351,620,249,458,125,124,21,0,0,0,0,0,0,0,0,0,1,16,6,12,15,157,285,174,19,40,114,65,6,0,0,0,0,0,0,0,13,80,37,30,8,10,55,149,166,47,8,57,30,25,3,0,0,0,0,0,15,68,37,20,3,15,6,9,175,127,34,34,42,27,47,20,0,0,0,0,19,16,10,0,0,12,15,4,1,0,13,36,27,25,15,10,19,14,3,0,27,5,0,0,1,11,39,48,10,0,0,0,3,4,1,1,3,2,7,7,5,0,0,0,2,7,27,42,25,1,0,1,0,1,0,2,1,0,6,1
2015/1/1 4:00,25,25,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,96,134,219,213,126,26,7,0,0,0,0,0,0,0,0,0,0,0,1,1,63,399,247,209,279,213,316,101,0,0,0,0,0,0,0,0,0,0,0,2,25,290,415,260,418,206,374,99,112,16,0,0,0,0,0,0,0,0,0,2,25,3,14,7,100,238,137,5,26,92,47,7,0,0,0,0,0,1,0,5,90,36,19,4,5,39,149,128,36,6,43,22,22,4,0,0,0,0,0,12,72,30,14,3,11,5,6,157,123,28,34,32,19,44,17,0,0,0,0,18,22,7,0,0,8,11,6,2,0,14,37,17,20,16,18,10,13,1,0,30,3,0,0,3,19,20,54,12,0,0,0,8,4,2,1,2,5,7,11,8,0,0,0,4,8,16,42,24,0,0,0,2,0,1,1,2,2,1,2
2015/1/1 4:30,14,17,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,47,103,166,160,114,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,53,283,198,151,194,193,204,69,0,0,0,0,0,0,0,0,0,0,0,4,16,184,290,163,256,162,240,49,71,9,0,0,0,0,0,0,0,0,0,1,14,4,5,15,75,133,82,5,22,56,28,7,0,0,0,0,1,0,3,4,62,30,12,1,2,25,65,74,17,7,32,15,29,3,0,0,0,0,0,15,39,20,11,2,6,4,2,88,79,23,19,22,12,26,15,0,0,0,0,12,9,4,0,1,9,8,1,2,0,15,32,14,13,8,17,14,13,3,0,20,4,0,0,0,16,21,27,8,0,0,0,5,4,3,1,1,2,12,6,4,1,0,0,3,6,12,21,17,1,0,0,0,4,0,0,0,0,1,0
